id,name,type,location,prefecture,rank,school_strength
1,狛犬大学附属苫小牧高校,高校,北海道苫小牧,北海道,名門,50
2,北海道高校,高校,北海道札幌,北海道,名門,50
3,札幌大山高校,高校,北海道札幌,北海道,強豪,50
4,知内高校,高校,北海道知内,北海道,強豪,50
5,旭川至宝高校,高校,北海道旭川,北海道,強豪,50
6,白川学園,高校,北海道芽室,北海道,強豪,50
7,帯広東高等学校,高校,北海道帯広,北海道,中堅,50
8,北見西高等学校,高校,北海道北見,北海道,中堅,50
9,釧路南高等学校,高校,北海道釧路,北海道,中堅,50
10,網走北高等学校,高校,北海道網走,北海道,中堅,50
11,札幌中央高等学校,高校,北海道札幌,北海道,中堅,50
12,旭川新高等学校,高校,北海道旭川,北海道,中堅,50
13,函館総合高等学校,高校,北海道函館,北海道,中堅,50
14,小樽第一高等学校,高校,北海道小樽,北海道,弱小,50
15,室蘭第二高等学校,高校,北海道室蘭,北海道,弱小,50
16,苫小牧商業高等学校,高校,北海道苫小牧,北海道,弱小,50
17,帯広工業高等学校,高校,北海道帯広,北海道,弱小,50
18,北見農業高等学校,高校,北海道北見,北海道,弱小,50
19,釧路総合高等学校,高校,北海道釧路,北海道,弱小,50
20,網走普通高等学校,高校,北海道網走,北海道,弱小,50
21,札幌商業高等学校,高校,北海道札幌,北海道,弱小,50
22,旭川工業高等学校,高校,北海道旭川,北海道,弱小,50
23,函館農業高等学校,高校,北海道函館,北海道,弱小,50
24,小樽総合高等学校,高校,北海道小樽,北海道,弱小,50
25,室蘭普通高等学校,高校,北海道室蘭,北海道,弱小,50
26,苫小牧東高等学校,高校,北海道苫小牧,北海道,弱小,50
27,帯広西高等学校,高校,北海道帯広,北海道,弱小,50
28,北見南高等学校,高校,北海道北見,北海道,弱小,50
29,釧路北高等学校,高校,北海道釧路,北海道,弱小,50
30,網走中央高等学校,高校,北海道網走,北海道,弱小,50
31,札幌新高等学校,高校,北海道札幌,北海道,弱小,50
32,旭川東高等学校,高校,北海道旭川,北海道,弱小,50
33,青森山台高校,高校,青森県青森,青森県,名門,50
34,八戸学院高校,高校,青森県八戸,青森県,名門,50
35,弘前学院高校,高校,青森県弘前,青森県,強豪,50
36,八戸工業大付属高校,高校,青森県八戸,青森県,強豪,50
37,黒石第二高等学校,高校,青森県黒石,青森県,強豪,50
38,十和田第四高等学校,高校,青森県十和田,青森県,強豪,50
39,三沢東高等学校,高校,青森県三沢,青森県,中堅,50
40,むつ西高等学校,高校,青森県むつ,青森県,中堅,50
41,つがる南高等学校,高校,青森県つがる,青森県,中堅,50
42,平川北高等学校,高校,青森県平川,青森県,中堅,50
43,青森中央高等学校,高校,青森県青森,青森県,中堅,50
44,弘前新高等学校,高校,青森県弘前,青森県,中堅,50
45,八戸総合高等学校,高校,青森県八戸,青森県,中堅,50
46,黒石第一高等学校,高校,青森県黒石,青森県,弱小,50
47,五所川原第二高等学校,高校,青森県五所川原,青森県,弱小,50
48,十和田商業高等学校,高校,青森県十和田,青森県,弱小,50
49,三沢工業高等学校,高校,青森県三沢,青森県,弱小,50
50,むつ農業高等学校,高校,青森県むつ,青森県,弱小,50
51,つがる総合高等学校,高校,青森県つがる,青森県,弱小,50
52,平川普通高等学校,高校,青森県平川,青森県,弱小,50
53,青森商業高等学校,高校,青森県青森,青森県,弱小,50
54,弘前工業高等学校,高校,青森県弘前,青森県,弱小,50
55,八戸農業高等学校,高校,青森県八戸,青森県,弱小,50
56,黒石総合高等学校,高校,青森県黒石,青森県,弱小,50
57,五所川原普通高等学校,高校,青森県五所川原,青森県,弱小,50
58,十和田東高等学校,高校,青森県十和田,青森県,弱小,50
59,三沢西高等学校,高校,青森県三沢,青森県,弱小,50
60,むつ南高等学校,高校,青森県むつ,青森県,弱小,50
61,つがる北高等学校,高校,青森県つがる,青森県,弱小,50
62,平川中央高等学校,高校,青森県平川,青森県,弱小,50
63,青森新高等学校,高校,青森県青森,青森県,弱小,50
64,弘前東高等学校,高校,青森県弘前,青森県,弱小,50
65,盛岡第一高等学校,高校,岩手県盛岡,岩手県,名門,50
66,花巻第一高校,高校,岩手県花巻,岩手県,名門,50
67,大船渡第一高等学校,高校,岩手県大船渡,岩手県,強豪,50
68,花巻第二高等学校,高校,岩手県花巻,岩手県,強豪,50
69,北上市第三高等学校,高校,岩手県北上市,岩手県,強豪,50
70,久慈第四高等学校,高校,岩手県久慈,岩手県,強豪,50
71,遠野東高等学校,高校,岩手県遠野,岩手県,中堅,50
72,一関西高等学校,高校,岩手県一関,岩手県,中堅,50
73,陸前高田南高等学校,高校,岩手県陸前高田,岩手県,中堅,50
74,釜石北高等学校,高校,岩手県釜石,岩手県,中堅,50
75,盛岡中央高等学校,高校,岩手県盛岡,岩手県,中堅,50
76,宮古新高等学校,高校,岩手県宮古,岩手県,中堅,50
77,大船渡総合高等学校,高校,岩手県大船渡,岩手県,中堅,50
78,花巻第一高等学校,高校,岩手県花巻,岩手県,弱小,50
79,北上市第二高等学校,高校,岩手県北上市,岩手県,弱小,50
80,久慈商業高等学校,高校,岩手県久慈,岩手県,弱小,50
81,遠野工業高等学校,高校,岩手県遠野,岩手県,弱小,50
82,一関農業高等学校,高校,岩手県一関,岩手県,弱小,50
83,陸前高田総合高等学校,高校,岩手県陸前高田,岩手県,弱小,50
84,釜石普通高等学校,高校,岩手県釜石,岩手県,弱小,50
85,盛岡商業高等学校,高校,岩手県盛岡,岩手県,弱小,50
86,宮古工業高等学校,高校,岩手県宮古,岩手県,弱小,50
87,大船渡農業高等学校,高校,岩手県大船渡,岩手県,弱小,50
88,花巻総合高等学校,高校,岩手県花巻,岩手県,弱小,50
89,北上市普通高等学校,高校,岩手県北上市,岩手県,弱小,50
90,久慈東高等学校,高校,岩手県久慈,岩手県,弱小,50
91,遠野西高等学校,高校,岩手県遠野,岩手県,弱小,50
92,一関南高等学校,高校,岩手県一関,岩手県,弱小,50
93,陸前高田北高等学校,高校,岩手県陸前高田,岩手県,弱小,50
94,釜石中央高等学校,高校,岩手県釜石,岩手県,弱小,50
95,盛岡新高等学校,高校,岩手県盛岡,岩手県,弱小,50
96,宮古東高等学校,高校,岩手県宮古,岩手県,弱小,50
97,仙台北栄高校,高校,宮城県多賀城市,宮城県,名門,50
98,聖羽高校,高校,宮城県仙台市,宮城県,名門,50
99,塩竈第一高等学校,高校,宮城県塩竈,宮城県,強豪,50
100,気仙沼第二高等学校,高校,宮城県気仙沼,宮城県,強豪,50
101,白石第三高等学校,高校,宮城県白石,宮城県,強豪,50
102,名取第四高等学校,高校,宮城県名取,宮城県,強豪,50
103,角田東高等学校,高校,宮城県角田,宮城県,中堅,50
104,多賀城西高等学校,高校,宮城県多賀城,宮城県,中堅,50
105,岩沼南高等学校,高校,宮城県岩沼,宮城県,中堅,50
106,登米北高等学校,高校,宮城県登米,宮城県,中堅,50
107,仙台中央高等学校,高校,宮城県仙台,宮城県,中堅,50
108,石巻新高等学校,高校,宮城県石巻,宮城県,中堅,50
109,塩竈総合高等学校,高校,宮城県塩竈,宮城県,中堅,50
110,気仙沼第一高等学校,高校,宮城県気仙沼,宮城県,弱小,50
111,白石第二高等学校,高校,宮城県白石,宮城県,弱小,50
112,名取商業高等学校,高校,宮城県名取,宮城県,弱小,50
113,角田工業高等学校,高校,宮城県角田,宮城県,弱小,50
114,多賀城農業高等学校,高校,宮城県多賀城,宮城県,弱小,50
115,岩沼総合高等学校,高校,宮城県岩沼,宮城県,弱小,50
116,登米普通高等学校,高校,宮城県登米,宮城県,弱小,50
117,仙台商業高等学校,高校,宮城県仙台,宮城県,弱小,50
118,石巻工業高等学校,高校,宮城県石巻,宮城県,弱小,50
119,塩竈農業高等学校,高校,宮城県塩竈,宮城県,弱小,50
120,気仙沼総合高等学校,高校,宮城県気仙沼,宮城県,弱小,50
121,白石普通高等学校,高校,宮城県白石,宮城県,弱小,50
122,名取東高等学校,高校,宮城県名取,宮城県,弱小,50
123,角田西高等学校,高校,宮城県角田,宮城県,弱小,50
124,多賀城南高等学校,高校,宮城県多賀城,宮城県,弱小,50
125,岩沼北高等学校,高校,宮城県岩沼,宮城県,弱小,50
126,登米中央高等学校,高校,宮城県登米,宮城県,弱小,50
127,仙台新高等学校,高校,宮城県仙台,宮城県,弱小,50
128,石巻東高等学校,高校,宮城県石巻,宮城県,弱小,50
129,金足農業高校,高校,秋田県秋田市,秋田県,名門,50
130,秋田商業高校,高校,秋田県秋田市,秋田県,名門,50
131,横手第一高等学校,高校,秋田県横手,秋田県,強豪,50
132,大館第二高等学校,高校,秋田県大館,秋田県,強豪,50
133,男鹿第三高等学校,高校,秋田県男鹿,秋田県,強豪,50
134,湯沢第四高等学校,高校,秋田県湯沢,秋田県,強豪,50
135,鹿角東高等学校,高校,秋田県鹿角,秋田県,中堅,50
136,由利本荘西高等学校,高校,秋田県由利本荘,秋田県,中堅,50
137,潟上南高等学校,高校,秋田県潟上,秋田県,中堅,50
138,大仙北高等学校,高校,秋田県大仙,秋田県,中堅,50
139,秋田中央高等学校,高校,秋田県秋田,秋田県,中堅,50
140,能代新高等学校,高校,秋田県能代,秋田県,中堅,50
141,横手総合高等学校,高校,秋田県横手,秋田県,中堅,50
142,大館第一高等学校,高校,秋田県大館,秋田県,弱小,50
143,男鹿第二高等学校,高校,秋田県男鹿,秋田県,弱小,50
144,湯沢商業高等学校,高校,秋田県湯沢,秋田県,弱小,50
145,鹿角工業高等学校,高校,秋田県鹿角,秋田県,弱小,50
146,由利本荘農業高等学校,高校,秋田県由利本荘,秋田県,弱小,50
147,潟上総合高等学校,高校,秋田県潟上,秋田県,弱小,50
148,大仙普通高等学校,高校,秋田県大仙,秋田県,弱小,50
149,秋田商業高等学校,高校,秋田県秋田,秋田県,弱小,50
150,能代工業高等学校,高校,秋田県能代,秋田県,弱小,50
151,横手農業高等学校,高校,秋田県横手,秋田県,弱小,50
152,大館総合高等学校,高校,秋田県大館,秋田県,弱小,50
153,男鹿普通高等学校,高校,秋田県男鹿,秋田県,弱小,50
154,湯沢東高等学校,高校,秋田県湯沢,秋田県,弱小,50
155,鹿角西高等学校,高校,秋田県鹿角,秋田県,弱小,50
156,由利本荘南高等学校,高校,秋田県由利本荘,秋田県,弱小,50
157,潟上北高等学校,高校,秋田県潟上,秋田県,弱小,50
158,大仙中央高等学校,高校,秋田県大仙,秋田県,弱小,50
159,秋田新高等学校,高校,秋田県秋田,秋田県,弱小,50
160,能代東高等学校,高校,秋田県能代,秋田県,弱小,50
161,白本大学山形高校,高校,山形県山形,山形県,名門,50
162,鶴岡南高校,高校,山形県鶴岡市,山形県,名門,50
163,東浜大学山形高校,高校,山形県山形,山形県,強豪,50
164,酒田第二高等学校,高校,山形県酒田,山形県,強豪,50
165,新庄第三高等学校,高校,山形県新庄,山形県,強豪,50
166,寒河江第四高等学校,高校,山形県寒河江,山形県,強豪,50
167,上山市東高等学校,高校,山形県上山市,山形県,中堅,50
168,長井西高等学校,高校,山形県長井,山形県,中堅,50
169,天童南高等学校,高校,山形県天童,山形県,中堅,50
170,東根北高等学校,高校,山形県東根,山形県,中堅,50
